Date,Transaction_Volume_Billion,Transaction_Value_INR_Trillion
2018-01-01,0.534,0.677
2018-02-01,0.604,1.097
2018-03-01,0.509,0.804
2018-04-01,0.608,0.914
2018-05-01,0.685,1.229
2018-06-01,0.814,1.374
2018-07-01,0.721,1.271
2018-08-01,0.831,1.621
2018-09-01,0.792,1.368
2018-10-01,0.898,1.598
2018-11-01,0.799,1.607
2018-12-01,1.04,2.113
2019-01-01,0.861,1.903
2019-02-01,0.892,1.758
2019-03-01,0.909,2.012
2019-04-01,1.239,2.352
2019-05-01,1.158,2.573
2019-06-01,1.097,2.159
2019-07-01,1.25,2.728
2019-08-01,1.233,2.497
2019-09-01,1.368,3.062
2019-10-01,1.132,2.56
2019-11-01,1.293,2.652
2019-12-01,1.351,2.836
2020-01-01,1.313,2.97
2020-02-01,1.645,3.55
2020-03-01,1.624,3.418
2020-04-01,1.283,2.938
2020-05-01,1.58,3.52
2020-06-01,1.628,3.555
2020-07-01,1.848,3.759
2020-08-01,1.936,3.988
2020-09-01,2.06,4.341
2020-10-01,2.008,4.413
2020-11-01,2.099,4.638
2020-12-01,2.354,4.967
2021-01-01,2.437,5.071
2021-02-01,2.387,5.085
2021-03-01,2.593,5.27
2021-04-01,2.937,5.899
2021-05-01,2.953,5.879
2021-06-01,2.945,5.849
2021-07-01,3.064,6.259
2021-08-01,3.151,6.412
2021-09-01,3.298,6.735
2021-10-01,3.25,6.678
2021-11-01,3.449,6.985
2021-12-01,3.734,7.499
2022-01-01,3.928,7.763
2022-02-01,4.218,8.303
2022-03-01,4.303,8.333
2022-04-01,4.636,9.014
2022-05-01,4.865,9.441
2022-06-01,4.955,9.455
2022-07-01,5.045,9.716
2022-08-01,5.145,9.825
2022-09-01,5.231,10.006
2022-10-01,5.488,10.366
2022-11-01,5.852,11.252
2022-12-01,6.061,11.588
2023-01-01,6.366,12.033
2023-02-01,6.785,12.889
2023-03-01,7.216,13.332
2023-04-01,7.505,14.202
2023-05-01,7.854,14.386
2023-06-01,8.082,14.833
2023-07-01,8.304,15.134
2023-08-01,8.541,15.629
2023-09-01,8.745,16.036
2023-10-01,8.91,16.212
2023-11-01,9.334,17.131
2023-12-01,9.923,17.895
2024-01-01,10.493,18.817
2024-02-01,11.071,19.606
2024-03-01,11.74,20.838
2024-04-01,12.286,21.653
2024-05-01,12.728,22.316
2024-06-01,13.126,22.947
2024-07-01,13.56,24.069
2024-08-01,13.8,24.123
2024-09-01,14.371,24.901
2024-10-01,14.709,25.55
2024-11-01,15.362,26.674
2024-12-01,16.241,28.144
2025-01-01,17.242,29.732
2025-02-01,18.291,31.407
2025-03-01,19.426,33.043
2025-04-01,20.09,34.225
2025-05-01,20.974,35.485
2025-06-01,21.526,36.407
2025-07-01,21.899,36.983
2025-08-01,22.607,38.083
2025-09-01,23.284,39.437
2025-10-01,23.967,40.487
2025-11-01,25.163,42.409
2025-12-01,26.425,44.288
